Applicant ID,Name,Budget,Primary Skill,Secondary Skill,Project Location,Company,Time Zone,Work Hours,Avablity
111,Amit Kumar,5 LPA,Java,React JS,India,Tacolicious,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
113,Aniket M,5 LPA,Python,Angular JS,India,Claude Lane,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
117,Sandeep,4 LPA,Angular JS,Ruby,India,Machka Restaurants Corp.,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
121,Sandesh,5 LPA,"C, C++",Java,India,Teriyaki House,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
127,Sumant,2 LPA,"HTML,CSS",Perl,India,Rosa Mexicano - Sunset,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
129,Vijay,5 LPA,Node JS,PHP,India,Mind of Beauty Day Spa,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
131,Dilip,6.5 LPA,Perl,SQL,India,Roy's Woodland Hills,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
133,Suraj,3 LPA,SQL,CSS,India,KoJa Kitchen,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134273,Ranga,3 LPA,React JS,AWS,India,King's Food Markets,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134274,Rajesh,2 LPA,Java,Angular JS,India,ALDI,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134275,Sunil,10 LPA,Angular JS,CSS,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134276,Ankit,15 LPA,"HTML,CSS",React JS,India,Kroger - Louisville,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134277,Varun,12 LPA,"C, C++",AWS,India,Coca-Cola Bottling Company Consolidated,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134278,Aditya,15 LPA,React JS,HTML,India,"CATCH, Inc.",Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134279,Sourav,8 LPA,"HTML,CSS",SQL,India,Kroger - Louisville,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134280,Sachin,8 LPA,AWS,PHP,India,LongHorn Steakhouse,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134281,Rahul,9 LPA,"HTML,CSS",SQL,India,New York Community Bank,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134282,Laxman,8.5 LPA,Java,Angular JS,India,Macy's,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134283,Virender,7.5 LPA,Java,Angular JS,India,Holiday Inn Express- Independently Owned & Operated,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134284,Mahender,8 LPA,React JS,Java,India,Kroger - Louisville,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134285,Ajit,9 LPA,PHP,CSS,India,ALDI,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134286,Zaheer,10 LPA,Java,HTML,India,ABBA Medical Transportation,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134287,Balaji,12 LPA,"HTML,CSS",PHP,India,State Street Bank,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134288,Anil,13 LPA,Java,HTML,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134291,Javagal,8 LPA,"HTML,CSS",SQL,India,Macy's,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134292,Venktesh,12 LPA,Java,React JS,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134293,Debashish,13 LPA,Python,Angular JS,India,"Peanut Gallery -- Galleria location, Dallas, TX",Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134295,Naman,8 LPA,Angular JS,Ruby,India,MICHAEL HILL,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134296,Romesh,9 LPA,"C, C++",Java,India,MICHAEL HILL,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134297,Ramesh,8 LPA,"HTML,CSS",SQL,India,MICHAEL HILL,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134298,Chaminda,6.5 LPA,Node JS,PHP,India,MICHAEL HILL,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134300,Marvan,9 LPA,PHP,Perl,India,Stanley Staffing,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134301,Ranatunga,10 LPA,SQL,CSS,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134302,Angelo,7.5 LPA,React JS,Java,India,"AAM, LLC.",Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134303,Dilhara,8 LPA,Perl,Angular JS,India,HCA-Tristar Health,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134304,Tilkaratene,9 LPA,AWS,CSS,India,Macy's,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134305,Kaluvithana,8 LPA,"HTML,CSS",Perl,India,ALDI,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134306,Muthaiaa,9 LPA,"C, C++",Angular JS,India,Corizon,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134307,Murlitharan,8 LPA,AWS,HTML,India,Kelly IT Resources,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134308,Roshan,9 LPA,"HTML,CSS",SQL,India,Volunteers of America Greater Ohio,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134309,Mahanama,10 LPA,"C, C++",AWS,India,South Davis Community Hospital,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134310,Dharamsena,11 LPA,"HTML,CSS",SQL,India,Community Health Charities,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134312,Sangakara,12 LPA,Perl,Angular JS,India,"United Recovery Systems, LP",Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134313,Jayawardene,8 LPA,GIT,Angular JS,India,Just 4 Kids Child Care Center,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134314,Mathews,9 LPA,"HTML,CSS",AWS,India,Accountemps,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134315,Chandana,8 LPA,PHP,CSS,India,Accountemps,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134316,Upul,9 LPA,Java,HTML,India,Global Technology Associates,Indian Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134317,Tharanga,8 LPA,"HTML,CSS",PHP,India,Macy's,Indian Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134318,Rajverdhan,9 LPA,Java,HTML,India,Coca-Cola Bottling Company Consolidated,Indian Standrad Time,Night Shift-10 pm to 7 am,Part Time
134320,Senanayake,8 LPA,"HTML,CSS",SQL,India,Jackson North Medical center,Indian Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134321,Brian,9 LPA,"HTML,CSS",Perl,Peru,Macy's,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134322,Lara,9 LPA,GIT,CSS,Peru,OfficeTeam,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134323,Curtely ,8 LPA,Perl,GIT,Colombia,OfficeTeam,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134324,Ambrose,7.5 LPA,AWS,Azure,Brazil,OfficeTeam,Eastren Standrad Time,Night Shift-10 pm to 7 am,Part Time
134327,Garry,3 LPA,AWS,GIT,Brazil,American Golf Corporation,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134328,Sobers,9 LPA,Docker,Kotlin,Argentina,American Golf Corporation,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134332,Ian,9 LPA,Java,React JS,Argentina,"United Natural Foods, Inc.",Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134333,Bishop,5 LPA,Python,Angular JS,Argentina,BK GLOBAL,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134334,Chris,5 LPA,Angular JS,Ruby,Argentina,Kirby Risk Corporation,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134335,Gayel,4 LPA,"C, C++",Java,Argentina,Main Line Health System,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134340,Carl,5 LPA,"HTML,CSS",Perl,Argentina,University Health System,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134343,Hooper,2 LPA,Node JS,PHP,Argentina,HCA-North Texas Division Inc.,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134344,Ramnaresh,5 LPA,Perl,SQL,Argentina,DST,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134345,Sarwan,6.5 LPA,SQL,CSS,Argentina,Service Corporation International,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134346,Shivnarein,3 LPA,React JS,AWS,Argentina,Lucky Eagle Casino,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134348,Chanderpaul,3 LPA,Java,Angular JS,Colombia,RGIS,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134350,Dwayen,2 LPA,Angular JS,CSS,Colombia,RGIS,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134354,Bravo,10 LPA,"HTML,CSS",React JS,Colombia,The Evangelical Lutheran Good Samaritan Society,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134355,Darren,15 LPA,"C, C++",AWS,Colombia,The Evangelical Lutheran Good Samaritan Society,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Part Time
134356,Bravo,12 LPA,React JS,HTML,Colombia,The Evangelical Lutheran Good Samaritan Society,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134357,Kiron,15 LPA,"HTML,CSS",SQL,Colombia,The Evangelical Lutheran Good Samaritan Society,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134358,Pollard,8 LPA,AWS,PHP,Colombia,Aaron's Sales and Lease,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134360,Steve,8 LPA,"HTML,CSS",SQL,Colombia,SSM Health Care Corporation,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
134369,Waugh,9 LPA,Java,Angular JS,Colombia,Brightview Senior Living,Eastren Standrad Time,Night Shift-10 pm to 7 am,Full Time 
134370,Mark,8.5 LPA,Java,Angular JS,Colombia,UnitedHealth Group,Eastren Standrad Time,Morning Shift-9 am to 6 pm,Full Time 
